"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:550"	"GO:550"	"ZBTB33_K562_HG19"	"82/1839"	"466/12202"	0.0705114941083572	0.294907461935386	0.252031390085479	"403/551/661/685/1864/3093/3156/3989/4200/5116/5762/5860/6648/6789/7228/9102/9799/10264/10510/11843/11846/12100/12353/12457/12630/12971/13245/13772/13958/13996/14401/14519/15065/15078/15576/16680/18141/19080/19081/19618/19758/20863/21284/21999/22010/22281/22284/22527/22780/22781/23382/23476/23507/23720/23914/23964/24490/24734/24948/25539/25777/25783/26105/26242/26386/26709/26805/27334/27436/27482/27868/28389/28448/29239/29390/29623/29647/31352/31382/31401/31410/32202"	82
"GO:472"	"GO:472"	"STAT2_K562_HG19"	"32/1839"	"164/12202"	0.0715092747605273	0.294907461935386	0.252031390085479	"1458/2024/3387/4602/6432/6433/7217/7793/8057/8205/9834/9890/12249/12250/14764/16836/17592/17593/18076/20182/20742/21041/21556/22599/24223/26088/27343/27587/27609/28847/29088/30869"	32
"GO:559"	"GO:559"	"ZKSCAN1_MELCELLLINE_MM9"	"31/1839"	"159/12202"	0.075744672012064	0.294907461935386	0.252031390085479	"870/6531/7802/7841/7965/8234/8665/9118/9258/9708/10357/11227/14307/15723/15726/16496/16774/17039/19541/19628/19704/21037/21763/22023/23904/26317/28567/28688/28847/29339/31455"	31
"GO:378"	"GO:378"	"NR2F2_MCF7_HG19"	"70/1839"	"394/12202"	0.0759167723794064	0.294907461935386	0.252031390085479	"27/151/308/958/1874/2545/2572/2659/3185/3822/4754/4811/4925/5345/5774/6046/6179/6380/6699/6774/6853/7816/10257/10526/10716/10992/12353/12457/13247/13428/13529/13928/13992/13993/14127/14228/14619/15773/15807/17303/18927/19152/19164/19277/20491/21108/21398/21818/22750/22821/23133/23197/24409/25058/25554/25629/25705/25842/25871/26118/26144/27343/27371/27436/28239/28690/28848/29027/31521/32300"	70
"GO:326"	"GO:326"	"MEF2C_GM12878_HG19"	"17/1839"	"83/12202"	0.112203292398315	0.419723427119624	0.358700583885452	"1801/5547/5690/8568/12002/12003/14127/16589/17810/17939/18181/19521/19856/19983/20491/24601/24789"	17
"GO:340"	"GO:340"	"MYB_MELCELLLINE_MM9"	"75/1839"	"440/12202"	0.133899683294814	0.462879133239249	0.395581958578618	"259/1950/3202/3375/4268/4515/6145/6380/6486/7072/7406/8455/9527/9699/9700/9998/10357/10844/11525/11928/12100/12254/12269/12320/12589/12628/13427/14144/14310/14599/14908/15630/15635/15807/16720/16747/16867/17356/17357/19033/20293/20614/20649/20948/21244/21946/22056/22613/22615/23487/23507/23830/23914/23959/24070/24678/24952/25446/25732/25763/26041/26087/26247/26665/27134/27168/27343/27402/27715/28914/29058/31455/32049/32519/32557"	75
"GO:17"	"GO:17"	"BATF_GM12878_HG19"	"58/1839"	"334/12202"	0.134065204639735	0.462879133239249	0.395581958578618	"1076/1733/2551/2725/3202/3506/4214/5646/5690/5778/5783/5971/6124/6284/6652/7066/7105/7228/7301/7305/7311/10551/11004/11007/12002/12003/12532/13428/13928/13941/14764/17186/17837/18181/18606/19031/19152/19209/20373/21712/22010/23243/23830/24020/24175/24511/24789/25732/25871/26027/26584/27548/28450/29088/29239/29390/30830/33326"	58
"GO:224"	"GO:224"	"FOXM1_ECC1_HG19"	"64/1839"	"372/12202"	0.137488851457203	0.462879133239249	0.395581958578618	"27/797/1853/2041/2734/3301/3350/3709/3940/3951/4749/5762/5821/5964/5986/6188/6704/6727/7048/7729/7740/8484/9699/9799/9998/10526/10844/11469/11525/11534/12547/12630/13511/13721/13723/13928/14398/15862/16256/16326/16720/17266/17837/19080/19704/19761/20103/21224/22256/22380/23720/23830/23959/24675/24979/25777/26233/26840/26920/28573/30426/30483/31293/31623"	64
"GO:400"	"GO:400"	"RELA_GM12878_HG19"	"74/1839"	"437/12202"	0.149331735244314	0.47501835724833	0.405956282380021	"403/534/1497/1733/1864/2448/2551/2683/2903/3201/3350/3940/4906/5216/5646/6517/6641/7337/7386/7522/7802/8057/9102/9985/10257/11003/11119/11620/11989/12532/13992/13993/14420/14449/14614/14705/15347/15541/15630/16768/18181/18931/19152/19777/19856/19880/20084/20168/20382/20733/21247/22331/22449/22676/23212/23720/23830/24844/25339/25575/25842/26234/26258/26570/26709/27081/28779/28782/30111/30421/31484/31764/32519/33326"	74
"GO:460"	"GO:460"	"SREBF2_GM12878_HG19"	"43/1839"	"244/12202"	0.150500865662837	0.47501835724833	0.405956282380021	"308/667/5690/5696/6005/7311/8121/9777/9834/10438/11963/13425/14491/15723/16821/20553/22256/23197/23243/23511/24409/24772/25040/25352/25451/25732/25783/27000/27134/27952/27953/28389/29339/29629/29631/29782/29850/29918/30721/30994/31293/31336/32370"	43
"GO:405"	"GO:405"	"RELA_GM18526_HG19"	"83/1839"	"495/12202"	0.155573821009595	0.476150179453608	0.406923550966085	"74/403/685/792/1497/1864/2448/2551/2903/3122/3201/3350/4754/5216/6451/6921/7380/7386/7522/7870/8719/9082/10438/11292/11856/11989/12532/12777/13588/13940/14144/14420/15630/15959/16496/16867/17356/17357/17810/17864/18174/18176/18931/18947/19152/19348/19521/19692/19758/19856/19880/19983/20168/20863/21247/21754/22527/23212/23219/24020/24263/24490/24700/25146/25575/26131/26247/26258/26523/26526/26614/26709/27081/27136/27163/27402/28446/28779/30111/31355/31764/32202/33326"	83
"GO:4"	"GO:4"	"ASF1A"	"47/1839"	"272/12202"	0.172017682726078	0.505486353348921	0.431994590668176	"7/661/2290/3201/3629/4268/5683/6652/6909/8996/9445/9777/10399/10787/11525/12295/12547/12984/13175/13588/14398/14670/14949/15078/15749/15860/15955/16836/17197/18076/20810/21718/22893/23219/24027/25321/25679/26242/26840/27037/27163/27365/27868/28773/29782/31392/31939"	47
"GO:420"	"GO:420"	"REST_NEURALCELL_HG19"	"83/1839"	"499/12202"	0.17516853828923	0.505486353348921	0.431994590668176	"551/589/1801/2545/2572/2892/3085/3350/3637/3989/4200/4515/4655/4754/4925/5041/5696/5860/6380/7024/7061/7710/7965/8719/9124/9370/9777/10019/10262/10438/10767/12100/12353/12842/13093/13721/13792/13915/13992/13993/14307/14908/15776/16044/16332/17144/17332/17810/18174/18176/18275/19117/19756/19903/20092/20168/20472/20492/21224/21247/21348/21446/21598/21999/22750/23197/23338/23834/23899/23959/24027/24666/24772/25040/25321/26234/27499/27737/28290/29279/30997/31352/31694"	83
"GO:576"	"GO:576"	"ZZZ3_GM12878_HG19"	"31/1839"	"177/12202"	0.206754876092302	0.56993127140423	0.487069976603927	"1801/2572/3093/3202/4380/4754/5491/5672/5696/7011/8203/8665/9102/9998/11003/11525/13992/13993/14398/14491/14705/15166/16232/19164/20870/21295/21435/22924/24224/26317/26584"	31
"GO:163"	"GO:163"	"DDX18"	"50/1839"	"296/12202"	0.208786703385708	0.56993127140423	0.487069976603927	"551/763/792/3156/3708/6214/6539/6652/6659/8455/8719/8996/9445/9777/11469/11525/12295/12547/14513/14949/15748/15749/16836/17303/17593/17626/17810/18076/18428/18789/21677/22474/22780/22802/23219/23507/23914/24637/24979/25146/25321/25695/25783/27365/29782/30096/30766/31336/31392/33326"	50
"GO:26"	"GO:26"	"BRCA1"	"64/1839"	"386/12202"	0.218790199124309	0.581521318725138	0.496974967539983	"551/763/2290/2401/2725/3201/3202/3629/3957/4268/4657/5491/6432/6539/6648/6659/8677/8719/8996/9082/9124/9445/9777/9890/10438/11190/11456/11525/12387/12389/12532/12547/13588/14144/14398/14631/15078/15749/16821/16836/17716/17810/18076/18286/18428/19041/20070/20095/21247/21763/23914/24468/24789/24979/25146/25783/25913/26088/26242/26416/29088/30939/31104/31939"	64
"GO:361"	"GO:361"	"NFE2_K562_HG19"	"32/1839"	"186/12202"	0.233459482257504	0.593416840962724	0.507141020937398	"1/797/2406/2747/2748/6302/6346/6459/7525/8234/9585/10262/10835/11292/15239/15955/17014/17144/17435/19041/19692/21122/21386/22502/23574/25360/26258/26805/27174/27334/29007/29058"	32
"GO:251"	"GO:251"	"GATA3_A549_HG19"	"33/1839"	"193/12202"	0.240727255875102	0.593416840962724	0.507141020937398	"7/151/1864/2750/3093/3637/3986/6704/8935/9102/9605/10510/10716/12630/13772/13928/14186/15576/15664/16084/19081/19758/21284/21446/22502/23476/23507/23720/27436/27760/27770/29058/31382"	33
