ID	Date	Time	Weight	AST	LDH	ALT	WBC	LY..	MO..	GR..	LY.	MO.	GR.	RBC	Hgb	Hct	MCV	MCH	MCHC	RDW	Plt	MPV	...24	GLU.H	time	rowname	ident	quad
37	15-504	2018-07-27	01:22:00	7.65	19.5	2090	5.3	4	NA	NA	NA	NA	NA	NA	NA	NA	23.6	NA	NA	NA	NA	NA	NA	NA	NA	5	15-5_4_5	4	15-5
38	15-504	2018-08-22	11:29:00	8	23.8	2900	9.5	10.6	NA	NA	NA	NA	NA	NA	NA	NA	22.4	NA	NA	NA	NA	NA	NA	NA	NA	6	15-5_4_6	4	15-5
39	12-101	2018-04-13	11:04:00	9.3000000000000007	18.1	628	6.3	NA	52	24.5	23.5	NA	NA	NA	5.42	11	33.1	61.1	20.3	33.299999999999997	15.3	506	5.0999999999999996	NA	NA	2	12-1_1_2	1	12-1
40	12-101	2018-05-10	11:01:00	9.25	48.3	655	16.3	5.8	44.5	37.9	17.600000000000001	2.6	2.2000000000000002	1	5.08	10.3	32	63	20.2	32.1	15.9	524	NA	NA	NA	3	12-1_1_3	1	12-1
43	12-102	2018-04-13	11:06:00	9.0500000000000007	28	1392	13	6	39.1	42.1	18.8	2.2999999999999998	2.5	1.1000000000000001	4.67	9.3000000000000007	27.8	59.5	20	33.5	15.9	294	5.6	NA	NA	2	12-1_2_2	2	12-1
44	12-102	2018-05-10	11:04:00	8.9499999999999993	29.5	1232	12.2	5.3	43.6	36.799999999999997	19.600000000000001	2.2999999999999998	2	1	4.62	9.1999999999999993	27.6	59.7	19.899999999999999	33.299999999999997	15.2	369	5.0999999999999996	NA	NA	3	12-1_2_3	2	12-1
45	12-102	2018-06-08	11:27:00	8.6	17.8	1159	NA	NA	58.7	28.8	12.5	NA	NA	NA	4.63	8.8000000000000007	27	58.2	19.100000000000001	32.700000000000003	15.4	360	5.7	NA	NA	4	12-1_2_4	2	12-1
46	12-102	2018-07-12	12:41:00	8	23.6	NA	NA	7.3	NA	NA	NA	NA	NA	NA	NA	NA	28.2	NA	NA	NA	NA	NA	NA	NA	NA	5	12-1_2_5	2	12-1
47	12-103	2018-04-13	11:14:00	6.9	20.6	741	NA	4.3	46.7	33	20.3	2	1.4	0.9	4.79	9.6999999999999993	29.3	61.1	20.2	33	14.6	478	5	NA	NA	2	12-1_3_2	3	12-1
48	12-103	2018-05-10	11:08:00	6.65	44.8	1114	9.1999999999999993	5.4	NA	NA	NA	NA	NA	NA	4.87	9.8000000000000007	29.9	61.3	20.100000000000001	32.799999999999997	15.3	NA	NA	NA	NA	3	12-1_3_3	3	12-1
49	12-104	2018-04-13	11:20:00	8	28.2	1840	8.6999999999999993	4.5999999999999996	40.799999999999997	38.299999999999997	20.9	1.9	1.8	1	4.9000000000000004	9.6	29	59.1	19.600000000000001	33.1	15.7	374	5.5	NA	NA	2	12-1_4_2	4	12-1
50	12-104	2018-05-10	11:10:00	8	29.4	1577	7.8	7.9	35.9	37.9	26.2	2.8	3	2.1	4.92	9.5	28.9	58.7	19.3	32.799999999999997	16.600000000000001	377	5.7	NA	NA	3	12-1_4_3	4	12-1
51	12-104	2018-06-08	11:30:00	7.9	21.9	1537	NA	6.6	56.5	30.5	13	3.7	2	0.9	3.88	7.7	22.5	58.1	19.8	34	16.3	320	5.9	NA	NA	4	12-1_4_4	4	12-1
52	16-901	2019-08-26	NA	NA	34	709	10	4.5	13.9	6.7	70.400000000000006	0.6	0.3	3.6	5.28	9.9	25.7	48.6	18.8	38.6	19.8	249	5.4	NA	NA	3	16-9_1_3	1	16-9
53	16-902	2019-08-26	NA	NA	32	726	10	3.7	12.9	6.3	80.8	0.4	0.3	3	5.52	10.4	27.3	49.5	18.8	38	20.3	287	5.4	NA	NA	3	16-9_2_3	2	16-9
54	16-903	2019-08-26	NA	NA	79	878	55	5	11.9	6.2	81.900000000000006	0.6	0.3	4.0999999999999996	6.75	12.3	33	48.9	18.2	37.299999999999997	20.7	238	5.6	NA	NA	3	16-9_3_3	3	16-9
55	16-904	2019-08-26	NA	NA	38	788	10	4.2	13.1	6.7	80.2	0.5	0.4	3.3	5.0599999999999996	9.6	24.9	49.3	19.7	38.700000000000003	19.7	255	5.6	NA	NA	3	16-9_4_3	4	16-9
